Volume Name,Volumes,Major_axis,Minor_axis,Solidity
599_T2,126.67104,212.5239204,105.2788166,0.402043536
1712_T2,129.043584,215.3903314,106.7547431,0.404818049
1475_T2,121.222656,212.5613253,103.5093907,0.419268468
576_T2,115.157376,210.440085,98.97581981,0.396657322
593_T2,116.40672,207.203201,103.5628015,0.397480529
583_T2,126.379008,211.693263,106.6068081,0.407129895
1489_T2,136.928448,216.4680508,108.7914769,0.423280112
573_T2,120.610944,210.8893553,103.3107585,0.409211629
1488_T2,121.801536,212.6665609,106.3505229,0.41593594
547_T2,125.589312,212.2662025,107.2916388,0.397033678
1463_T2,133.1856,211.0896841,103.8084398,0.433624385
1462_T2,128.535552,211.6126898,104.3799663,0.416406823
1461_T2,117.217152,208.1160172,99.09380881,0.40925984
1467_T2,122.390784,214.6077374,102.4083218,0.413567596
1703_T2,129.207744,214.2209986,106.5821326,0.404909404
1466_T2,138.929472,213.6389673,105.612444,0.43300929
598_T2,118.176192,205.9741886,101.7945918,0.403534445
578_T2,125.47872,211.7748264,104.6826392,0.403103142
595_T2,123.183936,211.0278086,103.1954962,0.401625952
1708_T2,125.077824,212.804817,104.6656129,0.402331179
591_T2,117.436608,207.8004179,103.1019339,0.399808217
582_T2,122.565312,210.8029258,105.8307636,0.404402709
1479_T2,141.274368,216.0877027,107.4949159,0.441831182
572_T2,110.087424,203.309085,99.6821933,0.414304388
545_T2,125.290368,212.2924769,107.6694098,0.4019291
546_T2,124.784064,212.4300484,105.1425615,0.39996123
1459_T2,120.028608,211.4225101,101.7851727,0.415936622
1458_T2,127.182528,215.993359,106.7017171,0.424115478
1460_T2,127.702656,211.1238281,103.5964246,0.414723114
1492_T2,126.48096,208.2380144,103.14932,0.444168674
594_T2,121.621824,209.8633495,103.398346,0.400515561
1491_T2,121.086144,211.069806,103.1430416,0.406312152
590_T2,125.321472,212.264868,107.5996212,0.402019967
1498_T2,127.291392,216.7188203,106.7434675,0.40653646
1496_T2,118.3248,209.2362811,100.7892409,0.412271512
1713_T2,128.825856,210.3454635,105.7788592,0.414037465
543_T2,130.657536,213.4286844,103.9717869,0.416631769
542_T2,126.372096,211.7580082,106.5178538,0.408611162
577_T2,129.646656,209.9485166,108.7530189,0.415588372
1702_T2,127.075392,209.6995071,104.3082516,0.410199915
1701_T2,129.724416,210.9543046,104.0882222,0.413062258
