ID,Rest-of-Brain,External-Capsule,Hippocampus,Cerebellum,Brain-stem,Ventricles,Olfactory-bulb,Cortex,Hypothalamus,Thalamus,Caudate-Putamen,Total Brain Volume
1458_T2,93.61,20.96,29.01,68.67,49.71,15.64,39.78,127.18,6.72,37.05,21.06,419.33
1459_T2,93.28,17.63,27.2,60.37,45.5,13.39,37.03,120.03,6.47,34.77,18.89,386.95
1460_T2,94.8,20.82,31.45,76.87,50.67,14.11,41.49,127.7,6.66,38.92,18.78,425.62
1461_T2,89.7,17.07,26.31,60.3,45.83,12.3,38.78,117.22,6.39,36.63,17.5,388.7
1462_T2,103.8,20.37,30.84,64.44,50.91,15.13,41.39,128.54,8.22,42.45,22.99,418.73
1463_T2,94.99,21.44,28.15,67.89,48.92,14.42,37.85,133.19,7.37,39.04,19.68,372.87
1466_T2,111.32,22.13,32.87,67.04,52.19,16.35,47.06,138.93,8.72,43.24,23.22,437.54
1467_T2,92.4,18.98,28.23,69.31,50.79,13.6,41.44,122.39,7.69,37.82,17.32,421.08
1475_T2,86.5,19.97,27.43,65.25,44.99,13.7,32.86,121.22,6.32,34.72,17.46,357.87
1479_T2,102.87,21.14,28.79,67.62,54.65,15.47,43.67,141.27,6.89,39.42,21.8,388.32
1488_T2,96.85,19.39,27.86,65.15,46.18,14.5,42.15,121.8,6.43,36.26,19.63,401.88
1489_T2,102.26,22.47,32.98,71.9,51.06,15.14,46.92,136.93,7.07,38.94,21.64,438.91
1491_T2,97.42,18.3,27.64,65.78,47.54,14.01,40.9,121.09,7.35,40.19,19.15,413.56
1492_T2,86.72,20.38,25.79,67.45,49.37,12.49,35.43,126.48,5.86,33.01,16.38,346.68
1496_T2,95.06,17.75,26.57,62.67,43.97,13.32,42.1,118.32,6.78,36.63,18.9,393.69
1498_T2,102.76,20.09,30.08,66.73,50.47,14.47,45.53,127.29,7.61,39.29,19.57,432.76
1703_T2,97.89,20.87,30.11,79.13,52.8,14.27,38.67,129.21,6.31,39.84,20.11,432.45
1708_T2,94.91,20.55,30.2,80.64,46.56,13.04,36.37,125.08,4.96,38.68,19.79,420.76
1712_T2,96.2,19.61,30.17,79.62,51.7,13.86,37.83,129.04,5.59,40.84,19.74,430.98
545_T2,97.57,19.97,29.08,75.84,46.26,14.03,37.64,125.29,6.46,39.54,20.07,418.85
546_T2,97.19,20.81,30.5,80.41,50.57,13.97,36.16,124.78,6.32,39.88,19.75,425.65
547_T2,98.15,19.78,30.04,77.38,51.89,13.49,37.9,125.59,6.5,39.15,20.6,428.68
572_T2,84.84,17.59,27.83,71.3,42.41,12.62,31.78,110.09,5.79,35.22,15.77,377.25
573_T2,89.69,20.04,27.92,73.83,43.45,13.6,35.67,120.61,6,36.45,18.47,399.55
576_T2,86.68,18.23,28.6,74.35,43.14,13.39,33.53,115.16,5.46,36.67,17.63,386.96
578_T2,94.79,20.42,30,77.2,48,13.58,37.77,125.48,5.61,38.61,19.35,420.42
582_T2,92.6,19.37,28.94,76.77,44.81,13.03,35.36,122.57,5.84,36.69,18.7,408.25
583_T2,94.45,20.35,30.29,78.06,49.88,12.82,36.82,126.38,6.5,39.05,19.97,425.84
590_T2,97.63,19.95,29.05,75.84,46.18,14.06,37.65,125.32,6.51,39.45,20.02,418.83
591_T2,88.71,18.62,29.19,77.79,40.56,13.78,34.11,117.44,5.34,37.41,17.6,394.87
593_T2,88.81,18.71,27.8,74.66,41.96,13.77,34.78,116.41,5.24,37.66,17.64,391.26
594_T2,92.03,18.45,29.8,74.8,47.08,13.38,34.04,121.62,6.57,38.25,19.01,407.82
595_T2,93.7,20.03,29.69,77.35,48.7,13.32,37.68,123.18,6.04,38.12,19.16,416.16
598_T2,87.06,19.83,28.47,75.11,41.87,14.05,33.09,118.18,5.2,36.32,17.59,392.12
599_T2,95.89,20.89,31.25,82.07,47.87,14.15,36.88,126.67,6.12,40.16,19.1,427.6
1713_T2,95.94,20.63,29,74.49,45.63,13.18,36.94,128.83,5.47,37.37,19.96,419.23
543_T2,93.54,20.81,29.84,75.9,45.14,14.1,37.6,130.66,6.05,36.63,19.3,423.27
542_T2,95.92,21.43,30.78,78.91,49.64,13.11,37,126.37,5.85,36.59,19.34,424.54
577_T2,97.34,19.83,29.81,78.03,47.75,14.16,37.23,129.65,6.24,38.07,20.3,425.42
1702_T2,95.27,19.86,29.69,75.27,45.52,13.07,36.11,127.08,5.91,37.2,19.22,418.99
1701_T2,96.1,20.07,29.19,76.02,48.12,12.89,34.44,129.72,6.6,36.44,19.9,424.11
