ID,Average Thickness
1457_T2,87.20637915
1465_T2,85.91369606
1468_T2,83.33003504
1469_T2,83.09499809
1470_T2,80.67467288
1471_T2,88.8125989
1473_T2,93.0656313
1474_T2,83.29010951
1477_T2,86.14647137
1483_T2,76.76846655
1485_T2,83.76955761
1490_T2,85.60386672
1494_T2,83.02789849
1495_T2,88.12361819
1704_T2,77.59889731
1705_T2,74.00529056
1706_T2,75.89858885
1707_T2,77.86214587
1709_T2,76.42313059
1710_T2,71.36926164
502_T2,75.72540727
503_T2,71.68052125
539_T2,75.86541606
548_T2,72.87866035
549_T2,76.1184669
550_T2,74.00247975
571_T2,75.45557895
574_T2,77.22739793
575_T2,78.41884194
580_T2,75.40608306
586_T2,74.87374521
587_T2,76.68074194
588_T2,80.24268351
592_T2,77.08641445
597_T2,81.8893412
600_T2,77.36118622
